method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-LSTM,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.10029676654916096,,0.9201087244699512,784,,0.050000000000000044,PICP 0.9153 (n=59) vs 0.9200 (n=725); z_iid=0.129 p_iid=0.8974,1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,regime,t-1 (implementable),13.439068681874929,2.0,0.001207100180243857,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=60.526 (df 7, p=1.185e-10) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.008449701261706999,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,transition,t-1 (implementable),0.04752982140189488,1.0,0.8274187086911279,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.134 (df 6, p=1.759e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,width,t-1 (implementable),2.6302079776380296,1.0,0.10484797869851711,780,log_interval_width,0.025000000000000022,"DQ_full=49.717 (df 6, p=5.357e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.41939191479406845,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.9858267115643662,,0.04705256869844317,784,,0.025000000000000022,PICP 0.9265 (n=381) vs 0.9628 (n=403); z_iid=2.229 p_iid=0.02579,0.23526284349221582,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.752732092928988,,0.005910023812113434,784,,0.025000000000000022,PICP 0.9699 (n=332) vs 0.9270 (n=452); z_iid=-2.606 p_iid=0.009158,0.03546014287268061,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.3822066312986803,,0.7023081035021794,784,,0.025000000000000022,PICP 0.9296 (n=71) vs 0.9467 (n=713); z_iid=0.604 p_iid=0.5455,1.0,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.3087120040002355,,0.7575406116977441,784,,0.025000000000000022,PICP 0.9322 (n=59) vs 0.9462 (n=725); z_iid=0.454 p_iid=0.6496,1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,regime,t-1 (implementable),2.905800805997142,2.0,0.23389092541586112,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=18.549 (df 7, p=0.009724) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,transition,t-1 (implementable),0.18108240661408637,1.0,0.6704446829075849,780,transition_exante(t-1),0.09999999999999998,"DQ_full=15.824 (df 6, p=0.01473) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,width,t-1 (implementable),0.40189589195775355,1.0,0.5261117601332458,780,log_interval_width,0.09999999999999998,"DQ_full=16.045 (df 6, p=0.01351) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.4144612256192535,,0.15722652434513054,784,,0.09999999999999998,PICP 0.8451 (n=381) vs 0.8809 (n=403); z_iid=1.457 p_iid=0.145,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.0924687116020886,,0.2746271357446115,784,,0.09999999999999998,PICP 0.8795 (n=332) vs 0.8518 (n=452); z_iid=-1.118 p_iid=0.2635,1.0,7,True
